B_dom	B_cod	A_dom	A_cod	count	probability
dancer	female_impersonator	butterfly	backstroke	37	0.037
dancer	female_impersonator	butterfly	Individual_Medley	19	0.019
dancer	female_impersonator	butterfly	Medley_Relay	24	0.024
dancer	female_impersonator	butterfly	recordholder_Ian	61	0.061
dancer	female_impersonator	butterfly	breaststroke	46	0.046
dancer	female_impersonator	butterfly	dragonfly	115	0.115
dancer	female_impersonator	butterfly	freestyle	35	0.035
dancer	female_impersonator	butterfly	chrysalides	30	0.03
dancer	female_impersonator	NA	NA	633	0.633
dancer	choreographer	butterfly	chrysalides	60	0.06
dancer	choreographer	butterfly	recordholder_Ian	78	0.078
dancer	choreographer	butterfly	breaststroke	42	0.042
dancer	choreographer	butterfly	backstroke	43	0.043
dancer	choreographer	butterfly	dragonfly	28	0.028
dancer	choreographer	butterfly	Medley_Relay	34	0.034
dancer	choreographer	butterfly	freestyle	60	0.06
dancer	choreographer	butterfly	Individual_Medley	22	0.022
dancer	choreographer	NA	NA	633	0.633
female_impersonator	choreographer	backstroke	chrysalides	4	0.004
female_impersonator	choreographer	backstroke	recordholder_Ian	10	0.01
female_impersonator	choreographer	Individual_Medley	breaststroke	2	0.002
female_impersonator	choreographer	Medley_Relay	recordholder_Ian	7	0.007
female_impersonator	choreographer	recordholder_Ian	backstroke	12	0.012
female_impersonator	choreographer	breaststroke	dragonfly	8	0.008
female_impersonator	choreographer	dragonfly	backstroke	12	0.012
female_impersonator	choreographer	freestyle	Medley_Relay	7	0.007
female_impersonator	choreographer	Individual_Medley	recordholder_Ian	7	0.007
female_impersonator	choreographer	recordholder_Ian	Medley_Relay	5	0.005
female_impersonator	choreographer	dragonfly	chrysalides	34	0.034
female_impersonator	choreographer	dragonfly	freestyle	19	0.019
female_impersonator	choreographer	recordholder_Ian	chrysalides	11	0.011
female_impersonator	choreographer	Individual_Medley	freestyle	7	0.007
female_impersonator	choreographer	backstroke	freestyle	7	0.007
female_impersonator	choreographer	breaststroke	chrysalides	8	0.008
female_impersonator	choreographer	chrysalides	dragonfly	5	0.005
female_impersonator	choreographer	dragonfly	recordholder_Ian	23	0.023
female_impersonator	choreographer	backstroke	dragonfly	6	0.006
female_impersonator	choreographer	recordholder_Ian	breaststroke	18	0.018
female_impersonator	choreographer	breaststroke	recordholder_Ian	15	0.015
female_impersonator	choreographer	freestyle	breaststroke	5	0.005
female_impersonator	choreographer	recordholder_Ian	dragonfly	3	0.003
female_impersonator	choreographer	breaststroke	backstroke	2	0.002
female_impersonator	choreographer	dragonfly	breaststroke	15	0.015
female_impersonator	choreographer	dragonfly	Individual_Medley	7	0.007
female_impersonator	choreographer	chrysalides	freestyle	6	0.006
female_impersonator	choreographer	freestyle	Individual_Medley	4	0.004
female_impersonator	choreographer	freestyle	recordholder_Ian	11	0.011
female_impersonator	choreographer	dragonfly	Medley_Relay	5	0.005
female_impersonator	choreographer	recordholder_Ian	freestyle	8	0.008
female_impersonator	choreographer	Medley_Relay	dragonfly	2	0.002
female_impersonator	choreographer	chrysalides	recordholder_Ian	5	0.005
female_impersonator	choreographer	Medley_Relay	backstroke	6	0.006
female_impersonator	choreographer	backstroke	Medley_Relay	8	0.008
female_impersonator	choreographer	recordholder_Ian	Individual_Medley	4	0.004
female_impersonator	choreographer	chrysalides	Medley_Relay	4	0.004
female_impersonator	choreographer	Individual_Medley	chrysalides	1	0.001
female_impersonator	choreographer	Individual_Medley	backstroke	2	0.002
female_impersonator	choreographer	chrysalides	backstroke	7	0.007
female_impersonator	choreographer	freestyle	dragonfly	4	0.004
female_impersonator	choreographer	Medley_Relay	breaststroke	1	0.001
female_impersonator	choreographer	Medley_Relay	freestyle	8	0.008
female_impersonator	choreographer	breaststroke	Individual_Medley	3	0.003
female_impersonator	choreographer	chrysalides	Individual_Medley	3	0.003
female_impersonator	choreographer	breaststroke	freestyle	5	0.005
female_impersonator	choreographer	backstroke	breaststroke	1	0.001
female_impersonator	choreographer	breaststroke	Medley_Relay	5	0.005
female_impersonator	choreographer	freestyle	backstroke	2	0.002
female_impersonator	choreographer	freestyle	chrysalides	2	0.002
female_impersonator	choreographer	backstroke	Individual_Medley	1	0.001
female_impersonator	choreographer	NA	NA	633	0.633
