B_dom	B_cod	A_dom	A_cod	count	probability
dancer	ballet	butterfly	chrysalides	56	0.056
dancer	ballet	butterfly	freestyle	100	0.1
dancer	ballet	butterfly	breaststroke	60	0.06
dancer	ballet	butterfly	backstroke	65	0.065
dancer	ballet	butterfly	recordholder_Ian	101	0.101
dancer	ballet	butterfly	Individual_Medley	57	0.057
dancer	ballet	butterfly	dragonfly	51	0.051
dancer	ballet	butterfly	Medley_Relay	48	0.048
dancer	ballet	NA	NA	462	0.462
dancer	choreographer	butterfly	Medley_Relay	39	0.039
dancer	choreographer	butterfly	breaststroke	86	0.086
dancer	choreographer	butterfly	recordholder_Ian	94	0.094
dancer	choreographer	butterfly	backstroke	90	0.09
dancer	choreographer	butterfly	chrysalides	46	0.046
dancer	choreographer	butterfly	freestyle	111	0.111
dancer	choreographer	butterfly	Individual_Medley	41	0.041
dancer	choreographer	butterfly	dragonfly	31	0.031
dancer	choreographer	NA	NA	462	0.462
choreographer	ballet	Medley_Relay	chrysalides	3	0.003
choreographer	ballet	breaststroke	freestyle	14	0.014
choreographer	ballet	Medley_Relay	breaststroke	7	0.007
choreographer	ballet	recordholder_Ian	backstroke	21	0.021
choreographer	ballet	recordholder_Ian	chrysalides	16	0.016
choreographer	ballet	backstroke	recordholder_Ian	28	0.028
choreographer	ballet	breaststroke	backstroke	9	0.009
choreographer	ballet	backstroke	chrysalides	9	0.009
choreographer	ballet	backstroke	freestyle	24	0.024
choreographer	ballet	chrysalides	recordholder_Ian	11	0.011
choreographer	ballet	backstroke	Individual_Medley	9	0.009
choreographer	ballet	recordholder_Ian	breaststroke	18	0.018
choreographer	ballet	freestyle	recordholder_Ian	32	0.032
choreographer	ballet	freestyle	breaststroke	16	0.016
choreographer	ballet	freestyle	dragonfly	7	0.007
choreographer	ballet	Individual_Medley	freestyle	16	0.016
choreographer	ballet	Medley_Relay	freestyle	17	0.017
choreographer	ballet	breaststroke	chrysalides	9	0.009
choreographer	ballet	freestyle	backstroke	12	0.012
choreographer	ballet	freestyle	Medley_Relay	18	0.018
choreographer	ballet	freestyle	chrysalides	8	0.008
choreographer	ballet	breaststroke	Medley_Relay	11	0.011
choreographer	ballet	breaststroke	dragonfly	8	0.008
choreographer	ballet	Individual_Medley	dragonfly	3	0.003
choreographer	ballet	Individual_Medley	breaststroke	7	0.007
choreographer	ballet	breaststroke	Individual_Medley	16	0.016
choreographer	ballet	chrysalides	freestyle	4	0.004
choreographer	ballet	breaststroke	recordholder_Ian	19	0.019
choreographer	ballet	Individual_Medley	chrysalides	3	0.003
choreographer	ballet	chrysalides	dragonfly	20	0.02
choreographer	ballet	backstroke	breaststroke	6	0.006
choreographer	ballet	dragonfly	breaststroke	4	0.004
choreographer	ballet	dragonfly	Medley_Relay	4	0.004
choreographer	ballet	Individual_Medley	backstroke	9	0.009
choreographer	ballet	freestyle	Individual_Medley	18	0.018
choreographer	ballet	chrysalides	breaststroke	2	0.002
choreographer	ballet	dragonfly	freestyle	4	0.004
choreographer	ballet	recordholder_Ian	freestyle	21	0.021
choreographer	ballet	chrysalides	backstroke	5	0.005
choreographer	ballet	Individual_Medley	recordholder_Ian	3	0.003
choreographer	ballet	Medley_Relay	recordholder_Ian	2	0.002
choreographer	ballet	recordholder_Ian	Individual_Medley	8	0.008
choreographer	ballet	chrysalides	Medley_Relay	3	0.003
choreographer	ballet	dragonfly	recordholder_Ian	6	0.006
choreographer	ballet	recordholder_Ian	dragonfly	6	0.006
choreographer	ballet	dragonfly	chrysalides	8	0.008
choreographer	ballet	Medley_Relay	backstroke	6	0.006
choreographer	ballet	backstroke	Medley_Relay	8	0.008
choreographer	ballet	recordholder_Ian	Medley_Relay	4	0.004
choreographer	ballet	dragonfly	backstroke	3	0.003
choreographer	ballet	backstroke	dragonfly	6	0.006
choreographer	ballet	dragonfly	Individual_Medley	2	0.002
choreographer	ballet	Medley_Relay	Individual_Medley	3	0.003
choreographer	ballet	chrysalides	Individual_Medley	1	0.001
choreographer	ballet	Medley_Relay	dragonfly	1	0.001
choreographer	ballet	NA	NA	462	0.462
