B_dom	B_cod	A_dom	A_cod	count	probability
Pandyan	Kilusang_Mayo_Uno	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	8	0.008
Pandyan	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	9	0.009
Pandyan	Kilusang_Mayo_Uno	Elese_Daniel	losers_Hostettler_Santorum	7	0.007
Pandyan	Kilusang_Mayo_Uno	Lisa_Hurunui	Truckers_Protest	16	0.016
Pandyan	Kilusang_Mayo_Uno	Elese_Daniel	SCOR.PA_Quote_Profile_Research	12	0.012
Pandyan	Kilusang_Mayo_Uno	spincasting	losers_Hostettler_Santorum	10	0.01
Pandyan	Kilusang_Mayo_Uno	spincasting	Elese_Daniel	18	0.018
Pandyan	Kilusang_Mayo_Uno	metallic_leggings	Truckers_Protest	18	0.018
Pandyan	Kilusang_Mayo_Uno	metallic_leggings	spincasting	2	0.002
Pandyan	Kilusang_Mayo_Uno	Elese_Daniel	spincasting	3	0.003
Pandyan	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	spincasting	11	0.011
Pandyan	Kilusang_Mayo_Uno	Truckers_Protest	Elese_Daniel	8	0.008
Pandyan	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	7	0.007
Pandyan	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	Elese_Daniel	19	0.019
Pandyan	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	Truckers_Protest	12	0.012
Pandyan	Kilusang_Mayo_Uno	Lisa_Hurunui	Elese_Daniel	10	0.01
Pandyan	Kilusang_Mayo_Uno	spincasting	Truckers_Protest	23	0.023
Pandyan	Kilusang_Mayo_Uno	Elese_Daniel	Truckers_Protest	11	0.011
Pandyan	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	Elese_Daniel	5	0.005
Pandyan	Kilusang_Mayo_Uno	Dortmunder_Gold	Elese_Daniel	3	0.003
Pandyan	Kilusang_Mayo_Uno	Truckers_Protest	SCOR.PA_Quote_Profile_Research	6	0.006
Pandyan	Kilusang_Mayo_Uno	metallic_leggings	losers_Hostettler_Santorum	6	0.006
Pandyan	Kilusang_Mayo_Uno	Lisa_Hurunui	spincasting	6	0.006
Pandyan	Kilusang_Mayo_Uno	metallic_leggings	Lisa_Hurunui	3	0.003
Pandyan	Kilusang_Mayo_Uno	Truckers_Protest	Lisa_Hurunui	1	0.001
Pandyan	Kilusang_Mayo_Uno	spincasting	SCOR.PA_Quote_Profile_Research	13	0.013
Pandyan	Kilusang_Mayo_Uno	losers_Hostettler_Santorum	spincasting	3	0.003
Pandyan	Kilusang_Mayo_Uno	Dortmunder_Gold	Truckers_Protest	6	0.006
Pandyan	Kilusang_Mayo_Uno	Truckers_Protest	losers_Hostettler_Santorum	2	0.002
Pandyan	Kilusang_Mayo_Uno	SCOR.PA_Quote_Profile_Research	metallic_leggings	3	0.003
