B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dancing	butterfly	freestyle	79	0.079
dancer	dancing	butterfly	backstroke	47	0.047
dancer	dancing	butterfly	dragonfly	65	0.065
dancer	dancing	butterfly	chrysalides	72	0.072
dancer	dancing	butterfly	recordholder_Ian	75	0.075
dancer	dancing	butterfly	Medley_Relay	31	0.031
dancer	dancing	butterfly	Individual_Medley	40	0.04
dancer	dancing	butterfly	breaststroke	49	0.049
dancer	dancing	NA	NA	542	0.542
dancer	choreographer	butterfly	Individual_Medley	47	0.047
dancer	choreographer	butterfly	recordholder_Ian	91	0.091
dancer	choreographer	butterfly	breaststroke	59	0.059
dancer	choreographer	butterfly	dragonfly	51	0.051
dancer	choreographer	butterfly	Medley_Relay	24	0.024
dancer	choreographer	butterfly	backstroke	58	0.058
dancer	choreographer	butterfly	freestyle	82	0.082
dancer	choreographer	butterfly	chrysalides	46	0.046
dancer	choreographer	NA	NA	542	0.542
dancing	choreographer	freestyle	Individual_Medley	18	0.018
dancing	choreographer	backstroke	recordholder_Ian	14	0.014
dancing	choreographer	dragonfly	breaststroke	7	0.007
dancing	choreographer	chrysalides	dragonfly	11	0.011
dancing	choreographer	recordholder_Ian	Individual_Medley	12	0.012
dancing	choreographer	freestyle	Medley_Relay	7	0.007
dancing	choreographer	recordholder_Ian	backstroke	13	0.013
dancing	choreographer	Medley_Relay	freestyle	12	0.012
dancing	choreographer	dragonfly	Individual_Medley	7	0.007
dancing	choreographer	backstroke	dragonfly	7	0.007
dancing	choreographer	freestyle	recordholder_Ian	19	0.019
dancing	choreographer	dragonfly	freestyle	16	0.016
dancing	choreographer	Individual_Medley	recordholder_Ian	8	0.008
dancing	choreographer	recordholder_Ian	breaststroke	20	0.02
dancing	choreographer	chrysalides	recordholder_Ian	14	0.014
dancing	choreographer	breaststroke	recordholder_Ian	22	0.022
dancing	choreographer	Individual_Medley	Medley_Relay	2	0.002
dancing	choreographer	freestyle	chrysalides	9	0.009
dancing	choreographer	Medley_Relay	backstroke	6	0.006
dancing	choreographer	chrysalides	breaststroke	19	0.019
dancing	choreographer	Medley_Relay	recordholder_Ian	9	0.009
dancing	choreographer	recordholder_Ian	dragonfly	5	0.005
dancing	choreographer	freestyle	backstroke	6	0.006
dancing	choreographer	Individual_Medley	freestyle	11	0.011
dancing	choreographer	recordholder_Ian	chrysalides	6	0.006
dancing	choreographer	recordholder_Ian	freestyle	14	0.014
dancing	choreographer	chrysalides	backstroke	14	0.014
dancing	choreographer	freestyle	dragonfly	13	0.013
dancing	choreographer	Individual_Medley	breaststroke	4	0.004
dancing	choreographer	Individual_Medley	dragonfly	11	0.011
dancing	choreographer	breaststroke	chrysalides	8	0.008
dancing	choreographer	recordholder_Ian	Medley_Relay	5	0.005
dancing	choreographer	dragonfly	backstroke	16	0.016
dancing	choreographer	backstroke	freestyle	11	0.011
dancing	choreographer	freestyle	breaststroke	7	0.007
dancing	choreographer	backstroke	chrysalides	6	0.006
dancing	choreographer	breaststroke	Medley_Relay	5	0.005
dancing	choreographer	backstroke	Medley_Relay	4	0.004
dancing	choreographer	breaststroke	freestyle	8	0.008
dancing	choreographer	chrysalides	Individual_Medley	3	0.003
dancing	choreographer	dragonfly	chrysalides	14	0.014
dancing	choreographer	breaststroke	backstroke	1	0.001
dancing	choreographer	Medley_Relay	dragonfly	2	0.002
dancing	choreographer	backstroke	Individual_Medley	4	0.004
dancing	choreographer	Individual_Medley	backstroke	2	0.002
dancing	choreographer	chrysalides	Medley_Relay	1	0.001
dancing	choreographer	chrysalides	freestyle	10	0.01
dancing	choreographer	breaststroke	Individual_Medley	3	0.003
dancing	choreographer	Medley_Relay	chrysalides	1	0.001
dancing	choreographer	dragonfly	recordholder_Ian	5	0.005
dancing	choreographer	Medley_Relay	breaststroke	1	0.001
dancing	choreographer	Individual_Medley	chrysalides	2	0.002
dancing	choreographer	breaststroke	dragonfly	2	0.002
dancing	choreographer	backstroke	breaststroke	1	0.001
dancing	choreographer	NA	NA	542	0.542
