B_dom	B_cod	A_dom	A_cod	count	probability
stage	music	dance	flower	37	0.037
stage	music	sky	dance	8	0.008
stage	music	dance	beauty	46	0.046
stage	music	feather	beauty	25	0.025
stage	music	empty	sky	3	0.003
stage	music	empty	dance	7	0.007
stage	music	fly	flower	10	0.01
stage	music	feather	dance	29	0.029
stage	music	woman	beauty	7	0.007
stage	music	flower	empty	2	0.002
stage	music	dance	fly	10	0.01
stage	music	beauty	dance	7	0.007
stage	music	woman	dance	22	0.022
stage	music	flower	sky	7	0.007
stage	music	flower	fly	2	0.002
stage	music	woman	feather	1	0.001
stage	music	feather	flower	5	0.005
stage	music	dance	sky	7	0.007
stage	music	feather	woman	2	0.002
stage	music	dance	feather	6	0.006
stage	music	beauty	sky	2	0.002
stage	music	empty	flower	5	0.005
stage	music	flower	dance	21	0.021
stage	music	dance	woman	5	0.005
stage	music	woman	fly	1	0.001
stage	music	flower	beauty	7	0.007
stage	music	empty	fly	3	0.003
stage	music	sky	flower	2	0.002
stage	music	dance	empty	1	0.001
stage	music	sky	beauty	5	0.005
stage	music	fly	feather	1	0.001
stage	music	woman	flower	6	0.006
stage	music	sky	empty	1	0.001
stage	music	fly	dance	10	0.01
stage	music	feather	sky	1	0.001
stage	music	empty	beauty	1	0.001
stage	music	flower	woman	1	0.001
stage	music	empty	feather	1	0.001
stage	music	flower	feather	3	0.003
stage	music	beauty	fly	1	0.001
stage	music	feather	fly	2	0.002
stage	music	sky	feather	1	0.001
stage	music	fly	beauty	1	0.001
stage	music	NA	NA	675	0.675
dancer	music	butterfly	flower	65	0.065
dancer	music	butterfly	dance	104	0.104
dancer	music	butterfly	beauty	92	0.092
dancer	music	butterfly	sky	20	0.02
dancer	music	butterfly	empty	4	0.004
dancer	music	butterfly	fly	19	0.019
dancer	music	butterfly	feather	13	0.013
dancer	music	butterfly	woman	8	0.008
dancer	music	NA	NA	675	0.675
dancer	stage	butterfly	dance	112	0.112
dancer	stage	butterfly	sky	17	0.017
dancer	stage	butterfly	feather	64	0.064
dancer	stage	butterfly	empty	20	0.02
dancer	stage	butterfly	fly	22	0.022
dancer	stage	butterfly	woman	37	0.037
dancer	stage	butterfly	flower	43	0.043
dancer	stage	butterfly	beauty	10	0.01
dancer	stage	NA	NA	675	0.675
