B_dom	B_cod	A_dom	A_cod	count	probability
BÝA_Istanbul	Pandyan	Elese_Daniel	spincasting	14	0.014
BÝA_Istanbul	Pandyan	Truckers_Protest	Dortmunder_Gold	8	0.008
BÝA_Istanbul	Pandyan	Dortmunder_Gold	Elese_Daniel	14	0.014
BÝA_Istanbul	Pandyan	SCOR.PA_Quote_Profile_Research	spincasting	16	0.016
BÝA_Istanbul	Pandyan	Truckers_Protest	Lisa_Hurunui	21	0.021
BÝA_Istanbul	Pandyan	Dortmunder_Gold	metallic_leggings	12	0.012
BÝA_Istanbul	Pandyan	Truckers_Protest	metallic_leggings	22	0.022
BÝA_Istanbul	Pandyan	Dortmunder_Gold	losers_Hostettler_Santorum	20	0.02
BÝA_Istanbul	Pandyan	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	4	0.004
BÝA_Istanbul	Pandyan	losers_Hostettler_Santorum	spincasting	4	0.004
BÝA_Istanbul	Pandyan	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	6	0.006
BÝA_Istanbul	Pandyan	Truckers_Protest	losers_Hostettler_Santorum	15	0.015
BÝA_Istanbul	Pandyan	Lisa_Hurunui	Truckers_Protest	2	0.002
BÝA_Istanbul	Pandyan	Truckers_Protest	spincasting	21	0.021
BÝA_Istanbul	Pandyan	Truckers_Protest	Elese_Daniel	19	0.019
BÝA_Istanbul	Pandyan	Elese_Daniel	metallic_leggings	2	0.002
BÝA_Istanbul	Pandyan	Lisa_Hurunui	metallic_leggings	4	0.004
BÝA_Istanbul	Pandyan	Dortmunder_Gold	SCOR.PA_Quote_Profile_Research	17	0.017
BÝA_Istanbul	Pandyan	Elese_Daniel	SCOR.PA_Quote_Profile_Research	4	0.004
BÝA_Istanbul	Pandyan	Lisa_Hurunui	spincasting	6	0.006
BÝA_Istanbul	Pandyan	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	7	0.007
BÝA_Istanbul	Pandyan	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	4	0.004
BÝA_Istanbul	Pandyan	Dortmunder_Gold	spincasting	5	0.005
BÝA_Istanbul	Pandyan	SCOR.PA_Quote_Profile_Research	Elese_Daniel	13	0.013
BÝA_Istanbul	Pandyan	losers_Hostettler_Santorum	Lisa_Hurunui	6	0.006
BÝA_Istanbul	Pandyan	Lisa_Hurunui	Elese_Daniel	3	0.003
BÝA_Istanbul	Pandyan	losers_Hostettler_Santorum	metallic_leggings	4	0.004
BÝA_Istanbul	Pandyan	Dortmunder_Gold	Truckers_Protest	6	0.006
BÝA_Istanbul	Pandyan	Dortmunder_Gold	Lisa_Hurunui	15	0.015
BÝA_Istanbul	Pandyan	Elese_Daniel	losers_Hostettler_Santorum	3	0.003
BÝA_Istanbul	Pandyan	SCOR.PA_Quote_Profile_Research	Truckers_Protest	3	0.003
BÝA_Istanbul	Pandyan	Truckers_Protest	SCOR.PA_Quote_Profile_Research	10	0.01
BÝA_Istanbul	Pandyan	Lisa_Hurunui	losers_Hostettler_Santorum	2	0.002
BÝA_Istanbul	Pandyan	Elese_Daniel	Truckers_Protest	2	0.002
BÝA_Istanbul	Pandyan	losers_Hostettler_Santorum	Elese_Daniel	1	0.001
BÝA_Istanbul	Pandyan	Elese_Daniel	Dortmunder_Gold	1	0.001
BÝA_Istanbul	Pandyan	Lisa_Hurunui	Dortmunder_Gold	3	0.003
BÝA_Istanbul	Pandyan	Elese_Daniel	Lisa_Hurunui	2	0.002
BÝA_Istanbul	Pandyan	SCOR.PA_Quote_Profile_Research	metallic_leggings	1	0.001
BÝA_Istanbul	Pandyan	NA	NA	678	0.678
huger_strike	BÝA_Istanbul	Storm_Launcher	Elese_Daniel	28	0.028
huger_strike	BÝA_Istanbul	Storm_Launcher	Truckers_Protest	116	0.116
huger_strike	BÝA_Istanbul	Storm_Launcher	Dortmunder_Gold	89	0.089
huger_strike	BÝA_Istanbul	Storm_Launcher	SCOR.PA_Quote_Profile_Research	41	0.041
huger_strike	BÝA_Istanbul	Storm_Launcher	losers_Hostettler_Santorum	21	0.021
huger_strike	BÝA_Istanbul	Storm_Launcher	Lisa_Hurunui	27	0.027
huger_strike	BÝA_Istanbul	NA	NA	678	0.678
huger_strike	Pandyan	Storm_Launcher	spincasting	66	0.066
huger_strike	Pandyan	Storm_Launcher	Dortmunder_Gold	12	0.012
huger_strike	Pandyan	Storm_Launcher	Elese_Daniel	50	0.05
huger_strike	Pandyan	Storm_Launcher	Lisa_Hurunui	48	0.048
huger_strike	Pandyan	Storm_Launcher	metallic_leggings	45	0.045
huger_strike	Pandyan	Storm_Launcher	losers_Hostettler_Santorum	44	0.044
huger_strike	Pandyan	Storm_Launcher	SCOR.PA_Quote_Profile_Research	44	0.044
huger_strike	Pandyan	Storm_Launcher	Truckers_Protest	13	0.013
huger_strike	Pandyan	NA	NA	678	0.678
