B_dom	B_cod	A_dom	A_cod	count	probability
dancer	beauty	butterfly	beauty	428	0.428
dancer	beauty	butterfly	feather	52	0.052
dancer	beauty	butterfly	dance	55	0.055
dancer	beauty	butterfly	skirt	57	0.057
dancer	beauty	butterfly	sky	24	0.024
dancer	beauty	butterfly	fly	27	0.027
dancer	beauty	butterfly	flower	20	0.02
dancer	beauty	butterfly	spin	1	0.001
dancer	beauty	NA	NA	336	0.336
dancer	woman	butterfly	skirt	130	0.13
dancer	woman	butterfly	flower	241	0.241
dancer	woman	butterfly	sky	39	0.039
dancer	woman	butterfly	dance	87	0.087
dancer	woman	butterfly	beauty	91	0.091
dancer	woman	butterfly	feather	62	0.062
dancer	woman	butterfly	fly	14	0.014
dancer	woman	NA	NA	336	0.336
beauty	woman	beauty	skirt	85	0.085
beauty	woman	feather	flower	18	0.018
beauty	woman	beauty	flower	181	0.181
beauty	woman	beauty	sky	34	0.034
beauty	woman	dance	skirt	17	0.017
beauty	woman	beauty	dance	86	0.086
beauty	woman	feather	skirt	22	0.022
beauty	woman	skirt	beauty	15	0.015
beauty	woman	skirt	flower	33	0.033
beauty	woman	dance	beauty	36	0.036
beauty	woman	sky	beauty	12	0.012
beauty	woman	beauty	feather	38	0.038
beauty	woman	fly	flower	9	0.009
beauty	woman	sky	fly	4	0.004
beauty	woman	skirt	feather	9	0.009
beauty	woman	feather	fly	3	0.003
beauty	woman	fly	sky	3	0.003
beauty	woman	beauty	fly	4	0.004
beauty	woman	flower	beauty	20	0.02
beauty	woman	feather	beauty	7	0.007
beauty	woman	sky	feather	8	0.008
beauty	woman	feather	sky	2	0.002
beauty	woman	fly	skirt	6	0.006
beauty	woman	fly	beauty	1	0.001
beauty	woman	fly	feather	7	0.007
beauty	woman	dance	fly	2	0.002
beauty	woman	fly	dance	1	0.001
beauty	woman	spin	fly	1	0.001
beauty	woman	NA	NA	336	0.336
