B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dance	butterfly	dance	306	0.306
dancer	dance	butterfly	flower	135	0.135
dancer	dance	butterfly	fly	68	0.068
dancer	dance	butterfly	beauty	79	0.079
dancer	dance	butterfly	sky	21	0.021
dancer	dance	butterfly	woman	11	0.011
dancer	dance	butterfly	feather	55	0.055
dancer	dance	butterfly	empty	1	0.001
dancer	dance	NA	NA	324	0.324
dancer	night	butterfly	woman	159	0.159
dancer	night	butterfly	dance	117	0.117
dancer	night	butterfly	empty	96	0.096
dancer	night	butterfly	feather	20	0.02
dancer	night	butterfly	beauty	18	0.018
dancer	night	butterfly	fly	79	0.079
dancer	night	butterfly	sky	183	0.183
dancer	night	butterfly	flower	4	0.004
dancer	night	NA	NA	324	0.324
night	dance	woman	dance	109	0.109
night	dance	dance	flower	43	0.043
night	dance	empty	fly	20	0.02
night	dance	dance	beauty	22	0.022
night	dance	feather	sky	1	0.001
night	dance	beauty	dance	16	0.016
night	dance	fly	dance	59	0.059
night	dance	sky	dance	85	0.085
night	dance	empty	sky	14	0.014
night	dance	empty	dance	27	0.027
night	dance	woman	flower	19	0.019
night	dance	empty	beauty	14	0.014
night	dance	dance	woman	10	0.01
night	dance	sky	flower	39	0.039
night	dance	fly	flower	12	0.012
night	dance	dance	fly	25	0.025
night	dance	woman	beauty	21	0.021
night	dance	empty	flower	14	0.014
night	dance	sky	beauty	20	0.02
night	dance	empty	feather	6	0.006
night	dance	feather	beauty	2	0.002
night	dance	woman	feather	10	0.01
night	dance	dance	feather	10	0.01
night	dance	flower	dance	3	0.003
night	dance	feather	dance	7	0.007
night	dance	fly	feather	8	0.008
night	dance	sky	fly	18	0.018
night	dance	dance	sky	6	0.006
night	dance	feather	flower	6	0.006
night	dance	sky	feather	21	0.021
night	dance	dance	empty	1	0.001
night	dance	beauty	flower	2	0.002
night	dance	feather	fly	4	0.004
night	dance	flower	fly	1	0.001
night	dance	empty	woman	1	0.001
night	dance	NA	NA	324	0.324
