B_dom	B_cod	A_dom	A_cod	count	probability
dancer	singers	butterfly	gulf_fritillary	27	0.027
dancer	singers	butterfly	floral	28	0.028
dancer	singers	butterfly	fritillary	48	0.048
dancer	singers	butterfly	giant_swallowtail	74	0.074
dancer	singers	butterfly	magenta_flowers	27	0.027
dancer	singers	butterfly	dragonfly	5	0.005
dancer	singers	butterfly	orchid	41	0.041
dancer	singers	butterfly	zebra_longwing	44	0.044
dancer	singers	NA	NA	706	0.706
dancer	singer	butterfly	orchid	52	0.052
dancer	singer	butterfly	zebra_longwing	33	0.033
dancer	singer	butterfly	giant_swallowtail	32	0.032
dancer	singer	butterfly	magenta_flowers	54	0.054
dancer	singer	butterfly	floral	26	0.026
dancer	singer	butterfly	fritillary	47	0.047
dancer	singer	butterfly	dragonfly	9	0.009
dancer	singer	butterfly	gulf_fritillary	41	0.041
dancer	singer	NA	NA	706	0.706
singers	singer	gulf_fritillary	orchid	4	0.004
singers	singer	gulf_fritillary	zebra_longwing	8	0.008
singers	singer	floral	giant_swallowtail	2	0.002
singers	singer	fritillary	magenta_flowers	11	0.011
singers	singer	giant_swallowtail	magenta_flowers	18	0.018
singers	singer	magenta_flowers	floral	5	0.005
singers	singer	floral	magenta_flowers	4	0.004
singers	singer	dragonfly	orchid	4	0.004
singers	singer	giant_swallowtail	floral	6	0.006
singers	singer	orchid	zebra_longwing	3	0.003
singers	singer	giant_swallowtail	fritillary	10	0.01
singers	singer	zebra_longwing	orchid	8	0.008
singers	singer	orchid	fritillary	12	0.012
singers	singer	zebra_longwing	magenta_flowers	7	0.007
singers	singer	floral	zebra_longwing	3	0.003
singers	singer	gulf_fritillary	dragonfly	3	0.003
singers	singer	giant_swallowtail	zebra_longwing	13	0.013
singers	singer	fritillary	gulf_fritillary	10	0.01
singers	singer	floral	gulf_fritillary	6	0.006
singers	singer	giant_swallowtail	gulf_fritillary	11	0.011
singers	singer	floral	fritillary	3	0.003
singers	singer	zebra_longwing	fritillary	14	0.014
singers	singer	magenta_flowers	orchid	5	0.005
singers	singer	orchid	magenta_flowers	8	0.008
singers	singer	magenta_flowers	giant_swallowtail	8	0.008
singers	singer	zebra_longwing	giant_swallowtail	8	0.008
singers	singer	floral	orchid	9	0.009
singers	singer	fritillary	orchid	8	0.008
singers	singer	orchid	gulf_fritillary	7	0.007
singers	singer	giant_swallowtail	orchid	14	0.014
singers	singer	zebra_longwing	gulf_fritillary	3	0.003
singers	singer	orchid	floral	5	0.005
singers	singer	orchid	giant_swallowtail	5	0.005
singers	singer	fritillary	floral	5	0.005
singers	singer	fritillary	giant_swallowtail	6	0.006
singers	singer	magenta_flowers	fritillary	5	0.005
singers	singer	orchid	dragonfly	1	0.001
singers	singer	magenta_flowers	gulf_fritillary	4	0.004
singers	singer	giant_swallowtail	dragonfly	2	0.002
singers	singer	gulf_fritillary	magenta_flowers	6	0.006
singers	singer	fritillary	zebra_longwing	6	0.006
singers	singer	gulf_fritillary	giant_swallowtail	2	0.002
singers	singer	fritillary	dragonfly	2	0.002
singers	singer	zebra_longwing	floral	4	0.004
singers	singer	floral	dragonfly	1	0.001
singers	singer	gulf_fritillary	fritillary	3	0.003
singers	singer	dragonfly	giant_swallowtail	1	0.001
singers	singer	gulf_fritillary	floral	1	0.001
singers	singer	NA	NA	706	0.706
