B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	metallic_leggings	41	0.041
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	losers_Hostettler_Santorum	12	0.012
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Truckers_Protest	92	0.092
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	SCOR.PA_Quote_Profile_Research	84	0.084
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Lisa_Hurunui	29	0.029
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	spincasting	12	0.012
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Dortmunder_Gold	7	0.007
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Elese_Daniel	27	0.027
huger_strike	Stock_Exchange_PAMP_Pampa	NA	NA	696	0.696
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Elese_Daniel	18	0.018
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	metallic_leggings	57	0.057
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	spincasting	59	0.059
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	SCOR.PA_Quote_Profile_Research	54	0.054
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Dortmunder_Gold	69	0.069
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	losers_Hostettler_Santorum	22	0.022
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Lisa_Hurunui	20	0.02
huger_strike	Chhatrapati_Shivaji_Maharaj	Storm_Launcher	Truckers_Protest	5	0.005
huger_strike	Chhatrapati_Shivaji_Maharaj	NA	NA	696	0.696
Stock_Exchange_PAMP_Pampa	Chhatrapati_Shivaji_Maharaj	metallic_leggings	Elese_Daniel	9	0.009
Stock_Exchange_PAMP_Pampa	Chhatrapati_Shivaji_Maharaj	losers_Hostettler_Santorum	metallic_leggings	4	0.004
Stock_Exchange_PAMP_Pampa	Chhatrapati_Shivaji_Maharaj	Truckers_Protest	spincasting	26	0.026
Stock_Exchange_PAMP_Pampa	Chhatrapati_Shivaji_Maharaj	metallic_leggings	SCOR.PA_Quote_Profile_Research	12	0.012
Stock_Exchange_PAMP_Pampa	Chhatrapati_Shivaji_Maharaj	SCOR.PA_Quote_Profile_Research	spincasting	17	0.017
Stock_Exchange_PAMP_Pampa	Chhatrapati_Shivaji_Maharaj	SCOR.PA_Quote_Profile_Research	metallic_leggings	21	0.021
Stock_Exchange_PAMP_Pampa	Chhatrapati_Shivaji_Maharaj	Truckers_Protest	Dortmunder_Gold	13	0.013
Stock_Exchange_PAMP_Pampa	Chhatrapati_Shivaji_Maharaj	Lisa_Hurunui	Dortmunder_Gold	5	0.005
Stock_Exchange_PAMP_Pampa	Chhatrapati_Shivaji_Maharaj	Truckers_Protest	metallic_leggings	17	0.017
Stock_Exchange_PAMP_Pampa	Chhatrapati_Shivaji_Maharaj	spincasting	SCOR.PA_Quote_Profile_Research	4	0.004
