B_dom	B_cod	A_dom	A_cod	count	probability
dancer	feather	butterfly	feather	309	0.309
dancer	feather	butterfly	skirt	177	0.177
dancer	feather	butterfly	sky	123	0.123
dancer	feather	butterfly	dance	42	0.042
dancer	feather	butterfly	spin	77	0.077
dancer	feather	butterfly	fly	49	0.049
dancer	feather	butterfly	beauty	26	0.026
dancer	feather	NA	NA	197	0.197
dancer	music	butterfly	sky	45	0.045
dancer	music	butterfly	dance	290	0.29
dancer	music	butterfly	beauty	252	0.252
dancer	music	butterfly	flower	88	0.088
dancer	music	butterfly	fly	48	0.048
dancer	music	butterfly	skirt	18	0.018
dancer	music	butterfly	spin	44	0.044
dancer	music	butterfly	feather	18	0.018
dancer	music	NA	NA	197	0.197
feather	music	feather	sky	15	0.015
feather	music	skirt	dance	66	0.066
feather	music	sky	beauty	31	0.031
feather	music	dance	flower	16	0.016
feather	music	spin	flower	23	0.023
feather	music	spin	beauty	24	0.024
feather	music	feather	beauty	90	0.09
feather	music	feather	dance	137	0.137
feather	music	dance	beauty	9	0.009
feather	music	fly	beauty	34	0.034
feather	music	sky	dance	62	0.062
feather	music	skirt	fly	17	0.017
feather	music	sky	skirt	3	0.003
feather	music	sky	spin	13	0.013
feather	music	feather	spin	20	0.02
feather	music	skirt	beauty	64	0.064
feather	music	feather	fly	18	0.018
feather	music	feather	flower	25	0.025
feather	music	fly	skirt	4	0.004
feather	music	sky	fly	2	0.002
feather	music	skirt	sky	13	0.013
feather	music	skirt	feather	7	0.007
feather	music	dance	sky	9	0.009
feather	music	beauty	dance	7	0.007
feather	music	dance	skirt	3	0.003
feather	music	beauty	fly	7	0.007
feather	music	sky	feather	2	0.002
feather	music	fly	flower	10	0.01
feather	music	spin	dance	18	0.018
feather	music	sky	flower	10	0.01
feather	music	beauty	skirt	3	0.003
feather	music	spin	skirt	1	0.001
feather	music	skirt	spin	6	0.006
feather	music	dance	feather	3	0.003
feather	music	beauty	spin	5	0.005
feather	music	spin	sky	5	0.005
feather	music	feather	skirt	4	0.004
feather	music	dance	fly	2	0.002
feather	music	fly	feather	1	0.001
feather	music	spin	feather	4	0.004
feather	music	skirt	flower	4	0.004
feather	music	spin	fly	2	0.002
feather	music	beauty	sky	3	0.003
feather	music	beauty	feather	1	0.001
feather	music	NA	NA	197	0.197
