B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dance	butterfly	flower	160	0.16
dancer	dance	butterfly	dance	495	0.495
dancer	dance	butterfly	feather	95	0.095
dancer	dance	butterfly	skirt	24	0.024
dancer	dance	butterfly	fly	85	0.085
dancer	dance	butterfly	beauty	72	0.072
dancer	dance	butterfly	sky	59	0.059
dancer	dance	butterfly	spin	10	0.01
dancer	dance	NA	NA	0	0.0
dancer	flower	butterfly	feather	85	0.085
dancer	flower	butterfly	spin	8	0.008
dancer	flower	butterfly	flower	188	0.188
dancer	flower	butterfly	sky	136	0.136
dancer	flower	butterfly	skirt	157	0.157
dancer	flower	butterfly	beauty	259	0.259
dancer	flower	butterfly	dance	90	0.09
dancer	flower	butterfly	fly	77	0.077
dancer	flower	NA	NA	0	0.0
flower	dance	feather	flower	24	0.024
flower	dance	spin	dance	6	0.006
flower	dance	flower	feather	22	0.022
flower	dance	sky	skirt	16	0.016
flower	dance	skirt	fly	25	0.025
flower	dance	beauty	dance	186	0.186
flower	dance	dance	flower	28	0.028
flower	dance	skirt	flower	30	0.03
flower	dance	flower	dance	133	0.133
flower	dance	skirt	dance	75	0.075
flower	dance	sky	flower	29	0.029
flower	dance	dance	beauty	19	0.019
flower	dance	feather	dance	31	0.031
flower	dance	fly	dance	35	0.035
flower	dance	beauty	flower	26	0.026
flower	dance	sky	feather	19	0.019
flower	dance	beauty	feather	20	0.02
flower	dance	sky	beauty	37	0.037
flower	dance	fly	flower	23	0.023
flower	dance	sky	dance	29	0.029
flower	dance	flower	sky	17	0.017
flower	dance	fly	feather	19	0.019
flower	dance	skirt	feather	9	0.009
flower	dance	feather	fly	19	0.019
flower	dance	feather	beauty	6	0.006
flower	dance	dance	skirt	8	0.008
flower	dance	skirt	sky	8	0.008
flower	dance	flower	fly	16	0.016
flower	dance	beauty	sky	27	0.027
flower	dance	dance	fly	18	0.018
flower	dance	dance	sky	2	0.002
flower	dance	sky	fly	6	0.006
flower	dance	skirt	beauty	10	0.01
flower	dance	dance	feather	5	0.005
flower	dance	dance	spin	10	0.01
flower	dance	feather	sky	5	0.005
flower	dance	spin	feather	1	0.001
flower	dance	spin	fly	1	0.001
flower	dance	NA	NA	0	0.0
