B_dom	B_cod	A_dom	A_cod	count	probability
SUTA	Polanco_hyperextended	spincasting	SCOR.PA_Quote_Profile_Research	4	0.004
SUTA	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	15	0.015
SUTA	Polanco_hyperextended	Truckers_Protest	Dortmunder_Gold	30	0.03
SUTA	Polanco_hyperextended	Lisa_Hurunui	Truckers_Protest	13	0.013
SUTA	Polanco_hyperextended	Elese_Daniel	Dortmunder_Gold	27	0.027
SUTA	Polanco_hyperextended	Truckers_Protest	metallic_leggings	43	0.043
SUTA	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Elese_Daniel	52	0.052
SUTA	Polanco_hyperextended	losers_Hostettler_Santorum	Truckers_Protest	30	0.03
SUTA	Polanco_hyperextended	losers_Hostettler_Santorum	Dortmunder_Gold	8	0.008
SUTA	Polanco_hyperextended	Lisa_Hurunui	Elese_Daniel	37	0.037
SUTA	Polanco_hyperextended	losers_Hostettler_Santorum	spincasting	3	0.003
SUTA	Polanco_hyperextended	Elese_Daniel	Lisa_Hurunui	22	0.022
SUTA	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Truckers_Protest	3	0.003
SUTA	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	spincasting	10	0.01
SUTA	Polanco_hyperextended	Elese_Daniel	SCOR.PA_Quote_Profile_Research	18	0.018
SUTA	Polanco_hyperextended	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	12	0.012
SUTA	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	10	0.01
SUTA	Polanco_hyperextended	Truckers_Protest	Elese_Daniel	33	0.033
SUTA	Polanco_hyperextended	Elese_Daniel	metallic_leggings	8	0.008
SUTA	Polanco_hyperextended	spincasting	losers_Hostettler_Santorum	2	0.002
SUTA	Polanco_hyperextended	spincasting	Elese_Daniel	27	0.027
SUTA	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	metallic_leggings	4	0.004
SUTA	Polanco_hyperextended	Elese_Daniel	spincasting	20	0.02
SUTA	Polanco_hyperextended	Truckers_Protest	SCOR.PA_Quote_Profile_Research	13	0.013
SUTA	Polanco_hyperextended	losers_Hostettler_Santorum	metallic_leggings	3	0.003
SUTA	Polanco_hyperextended	Truckers_Protest	Lisa_Hurunui	14	0.014
SUTA	Polanco_hyperextended	losers_Hostettler_Santorum	Elese_Daniel	3	0.003
SUTA	Polanco_hyperextended	spincasting	Truckers_Protest	11	0.011
SUTA	Polanco_hyperextended	Truckers_Protest	spincasting	10	0.01
SUTA	Polanco_hyperextended	Elese_Daniel	Truckers_Protest	6	0.006
SUTA	Polanco_hyperextended	Lisa_Hurunui	spincasting	3	0.003
SUTA	Polanco_hyperextended	Truckers_Protest	losers_Hostettler_Santorum	19	0.019
SUTA	Polanco_hyperextended	Lisa_Hurunui	metallic_leggings	4	0.004
SUTA	Polanco_hyperextended	Lisa_Hurunui	losers_Hostettler_Santorum	5	0.005
SUTA	Polanco_hyperextended	losers_Hostettler_Santorum	Lisa_Hurunui	7	0.007
SUTA	Polanco_hyperextended	spincasting	Dortmunder_Gold	1	0.001
SUTA	Polanco_hyperextended	Lisa_Hurunui	SCOR.PA_Quote_Profile_Research	5	0.005
SUTA	Polanco_hyperextended	Lisa_Hurunui	Dortmunder_Gold	6	0.006
SUTA	Polanco_hyperextended	SCOR.PA_Quote_Profile_Research	Dortmunder_Gold	3	0.003
SUTA	Polanco_hyperextended	Elese_Daniel	losers_Hostettler_Santorum	3	0.003
SUTA	Polanco_hyperextended	NA	NA	453	0.453
huger_strike	SUTA	Storm_Launcher	spincasting	45	0.045
huger_strike	SUTA	Storm_Launcher	SCOR.PA_Quote_Profile_Research	97	0.097
huger_strike	SUTA	Storm_Launcher	Truckers_Protest	162	0.162
huger_strike	SUTA	Storm_Launcher	Lisa_Hurunui	73	0.073
huger_strike	SUTA	Storm_Launcher	Elese_Daniel	104	0.104
huger_strike	SUTA	Storm_Launcher	losers_Hostettler_Santorum	66	0.066
huger_strike	SUTA	NA	NA	453	0.453
huger_strike	Polanco_hyperextended	Storm_Launcher	SCOR.PA_Quote_Profile_Research	52	0.052
huger_strike	Polanco_hyperextended	Storm_Launcher	losers_Hostettler_Santorum	44	0.044
huger_strike	Polanco_hyperextended	Storm_Launcher	Dortmunder_Gold	75	0.075
huger_strike	Polanco_hyperextended	Storm_Launcher	Truckers_Protest	63	0.063
huger_strike	Polanco_hyperextended	Storm_Launcher	metallic_leggings	62	0.062
huger_strike	Polanco_hyperextended	Storm_Launcher	Elese_Daniel	152	0.152
huger_strike	Polanco_hyperextended	Storm_Launcher	spincasting	46	0.046
huger_strike	Polanco_hyperextended	Storm_Launcher	Lisa_Hurunui	53	0.053
huger_strike	Polanco_hyperextended	NA	NA	453	0.453
