B_dom	B_cod	A_dom	A_cod	count	probability
dancer	flower	butterfly	beauty	147	0.147
dancer	flower	butterfly	flower	113	0.113
dancer	flower	butterfly	skirt	86	0.086
dancer	flower	butterfly	feather	33	0.033
dancer	flower	butterfly	sky	70	0.07
dancer	flower	butterfly	fly	25	0.025
dancer	flower	butterfly	dance	25	0.025
dancer	flower	butterfly	spin	5	0.005
dancer	flower	NA	NA	496	0.496
dancer	stage	butterfly	dance	154	0.154
dancer	stage	butterfly	spin	122	0.122
dancer	stage	butterfly	fly	33	0.033
dancer	stage	butterfly	feather	73	0.073
dancer	stage	butterfly	sky	24	0.024
dancer	stage	butterfly	flower	35	0.035
dancer	stage	butterfly	skirt	45	0.045
dancer	stage	butterfly	beauty	18	0.018
dancer	stage	NA	NA	496	0.496
flower	stage	beauty	dance	45	0.045
flower	stage	flower	spin	28	0.028
flower	stage	beauty	spin	27	0.027
flower	stage	skirt	fly	7	0.007
flower	stage	flower	fly	8	0.008
flower	stage	feather	spin	6	0.006
flower	stage	flower	dance	39	0.039
flower	stage	beauty	feather	25	0.025
flower	stage	sky	dance	34	0.034
flower	stage	beauty	sky	14	0.014
flower	stage	flower	feather	21	0.021
flower	stage	skirt	flower	7	0.007
flower	stage	beauty	skirt	18	0.018
flower	stage	fly	spin	2	0.002
flower	stage	feather	skirt	4	0.004
flower	stage	fly	dance	10	0.01
flower	stage	fly	feather	2	0.002
flower	stage	dance	fly	2	0.002
flower	stage	sky	spin	11	0.011
flower	stage	skirt	dance	14	0.014
flower	stage	dance	spin	4	0.004
flower	stage	sky	flower	8	0.008
flower	stage	skirt	spin	44	0.044
flower	stage	flower	skirt	12	0.012
flower	stage	beauty	fly	13	0.013
flower	stage	feather	sky	4	0.004
flower	stage	spin	skirt	1	0.001
flower	stage	sky	feather	5	0.005
flower	stage	skirt	feather	7	0.007
flower	stage	skirt	beauty	6	0.006
flower	stage	fly	flower	3	0.003
flower	stage	fly	skirt	3	0.003
flower	stage	sky	skirt	7	0.007
flower	stage	fly	beauty	3	0.003
flower	stage	beauty	flower	5	0.005
flower	stage	flower	sky	1	0.001
flower	stage	feather	dance	11	0.011
flower	stage	dance	feather	10	0.01
flower	stage	dance	sky	2	0.002
flower	stage	dance	beauty	1	0.001
flower	stage	feather	flower	6	0.006
flower	stage	dance	flower	6	0.006
flower	stage	fly	sky	2	0.002
flower	stage	feather	fly	1	0.001
flower	stage	feather	beauty	1	0.001
flower	stage	sky	beauty	3	0.003
flower	stage	flower	beauty	4	0.004
flower	stage	spin	feather	3	0.003
flower	stage	sky	fly	2	0.002
flower	stage	spin	dance	1	0.001
flower	stage	skirt	sky	1	0.001
flower	stage	NA	NA	496	0.496
