B_dom	B_cod	A_dom	A_cod	count	probability
dancer	dance	butterfly	flower	143	0.143
dancer	dance	butterfly	fly	69	0.069
dancer	dance	butterfly	feather	70	0.07
dancer	dance	butterfly	dance	275	0.275
dancer	dance	butterfly	beauty	88	0.088
dancer	dance	butterfly	skirt	59	0.059
dancer	dance	butterfly	spin	18	0.018
dancer	dance	butterfly	sky	18	0.018
dancer	dance	NA	NA	260	0.26
dancer	music	butterfly	dance	213	0.213
dancer	music	butterfly	fly	45	0.045
dancer	music	butterfly	skirt	25	0.025
dancer	music	butterfly	beauty	207	0.207
dancer	music	butterfly	flower	146	0.146
dancer	music	butterfly	sky	46	0.046
dancer	music	butterfly	feather	21	0.021
dancer	music	butterfly	spin	37	0.037
dancer	music	NA	NA	260	0.26
music	dance	dance	flower	64	0.064
music	dance	dance	fly	38	0.038
music	dance	dance	feather	20	0.02
music	dance	fly	dance	26	0.026
music	dance	skirt	flower	5	0.005
music	dance	beauty	dance	153	0.153
music	dance	dance	beauty	38	0.038
music	dance	flower	skirt	29	0.029
music	dance	flower	beauty	46	0.046
music	dance	sky	flower	18	0.018
music	dance	beauty	flower	39	0.039
music	dance	dance	spin	14	0.014
music	dance	sky	dance	13	0.013
music	dance	skirt	dance	14	0.014
music	dance	fly	flower	8	0.008
music	dance	flower	feather	16	0.016
music	dance	flower	dance	41	0.041
music	dance	feather	beauty	4	0.004
music	dance	dance	sky	11	0.011
music	dance	spin	fly	5	0.005
music	dance	flower	fly	8	0.008
music	dance	sky	fly	11	0.011
music	dance	dance	skirt	28	0.028
music	dance	spin	dance	22	0.022
music	dance	feather	skirt	2	0.002
music	dance	feather	fly	4	0.004
music	dance	feather	flower	4	0.004
music	dance	skirt	feather	3	0.003
music	dance	flower	sky	6	0.006
music	dance	beauty	feather	15	0.015
music	dance	sky	feather	4	0.004
music	dance	fly	feather	7	0.007
music	dance	spin	feather	5	0.005
music	dance	fly	spin	4	0.004
music	dance	feather	dance	6	0.006
music	dance	spin	flower	5	0.005
music	dance	skirt	fly	3	0.003
music	dance	feather	sky	1	0.001
music	dance	NA	NA	260	0.26
