B_dom	B_cod	A_dom	A_cod	count	probability
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	SCOR.PA_Quote_Profile_Research	97	0.097
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	spincasting	19	0.019
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Truckers_Protest	111	0.111
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	losers_Hostettler_Santorum	17	0.017
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Lisa_Hurunui	48	0.048
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	metallic_leggings	52	0.052
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Dortmunder_Gold	15	0.015
huger_strike	Stock_Exchange_PAMP_Pampa	Storm_Launcher	Elese_Daniel	43	0.043
huger_strike	Stock_Exchange_PAMP_Pampa	NA	NA	598	0.598
huger_strike	BÝA_Istanbul	Storm_Launcher	Elese_Daniel	34	0.034
huger_strike	BÝA_Istanbul	Storm_Launcher	Truckers_Protest	118	0.118
huger_strike	BÝA_Istanbul	Storm_Launcher	Lisa_Hurunui	42	0.042
huger_strike	BÝA_Istanbul	Storm_Launcher	Dortmunder_Gold	141	0.141
huger_strike	BÝA_Istanbul	Storm_Launcher	losers_Hostettler_Santorum	32	0.032
huger_strike	BÝA_Istanbul	Storm_Launcher	SCOR.PA_Quote_Profile_Research	35	0.035
huger_strike	BÝA_Istanbul	NA	NA	598	0.598
Stock_Exchange_PAMP_Pampa	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Elese_Daniel	14	0.014
Stock_Exchange_PAMP_Pampa	BÝA_Istanbul	spincasting	Truckers_Protest	11	0.011
Stock_Exchange_PAMP_Pampa	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Lisa_Hurunui	14	0.014
Stock_Exchange_PAMP_Pampa	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Dortmunder_Gold	30	0.03
Stock_Exchange_PAMP_Pampa	BÝA_Istanbul	Truckers_Protest	Dortmunder_Gold	69	0.069
Stock_Exchange_PAMP_Pampa	BÝA_Istanbul	losers_Hostettler_Santorum	Lisa_Hurunui	3	0.003
Stock_Exchange_PAMP_Pampa	BÝA_Istanbul	Truckers_Protest	losers_Hostettler_Santorum	12	0.012
Stock_Exchange_PAMP_Pampa	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	Truckers_Protest	29	0.029
Stock_Exchange_PAMP_Pampa	BÝA_Istanbul	Truckers_Protest	Elese_Daniel	5	0.005
Stock_Exchange_PAMP_Pampa	BÝA_Istanbul	Truckers_Protest	Lisa_Hurunui	14	0.014
Stock_Exchange_PAMP_Pampa	BÝA_Istanbul	Lisa_Hurunui	Dortmunder_Gold	13	0.013
Stock_Exchange_PAMP_Pampa	BÝA_Istanbul	SCOR.PA_Quote_Profile_Research	losers_Hostettler_Santorum	10	0.01
Stock_Exchange_PAMP_Pampa	BÝA_Istanbul	metallic_leggings	Truckers_Protest	35	0.035
Stock_Exchange_PAMP_Pampa	BÝA_Istanbul	Dortmunder_Gold	Truckers_Protest	7	0.007
Stock_Exchange_PAMP_Pampa	BÝA_Istanbul	Elese_Daniel	Dortmunder_Gold	14	0.014
Stock_Exchange_PAMP_Pampa	BÝA_Istanbul	Elese_Daniel	Lisa_Hurunui	6	0.006
