B_dom	B_cod	A_dom	A_cod	count	probability
dancer	ballet	butterfly	freestyle	105	0.105
dancer	ballet	butterfly	dragonfly	82	0.082
dancer	ballet	butterfly	chrysalides	49	0.049
dancer	ballet	butterfly	breaststroke	56	0.056
dancer	ballet	butterfly	recordholder_Ian	108	0.108
dancer	ballet	butterfly	backstroke	62	0.062
dancer	ballet	butterfly	Medley_Relay	32	0.032
dancer	ballet	butterfly	Individual_Medley	23	0.023
dancer	ballet	NA	NA	483	0.483
dancer	hoofer	butterfly	recordholder_Ian	100	0.1
dancer	hoofer	butterfly	breaststroke	68	0.068
dancer	hoofer	butterfly	Medley_Relay	23	0.023
dancer	hoofer	butterfly	Individual_Medley	63	0.063
dancer	hoofer	butterfly	freestyle	70	0.07
dancer	hoofer	butterfly	backstroke	57	0.057
dancer	hoofer	butterfly	chrysalides	71	0.071
dancer	hoofer	butterfly	dragonfly	65	0.065
dancer	hoofer	NA	NA	483	0.483
hoofer	ballet	recordholder_Ian	freestyle	29	0.029
hoofer	ballet	breaststroke	dragonfly	15	0.015
hoofer	ballet	recordholder_Ian	chrysalides	7	0.007
hoofer	ballet	recordholder_Ian	breaststroke	25	0.025
hoofer	ballet	Medley_Relay	freestyle	7	0.007
hoofer	ballet	Individual_Medley	dragonfly	9	0.009
hoofer	ballet	Individual_Medley	freestyle	23	0.023
hoofer	ballet	freestyle	recordholder_Ian	21	0.021
hoofer	ballet	Medley_Relay	chrysalides	1	0.001
hoofer	ballet	Medley_Relay	backstroke	2	0.002
hoofer	ballet	backstroke	recordholder_Ian	16	0.016
hoofer	ballet	chrysalides	freestyle	9	0.009
hoofer	ballet	recordholder_Ian	backstroke	21	0.021
hoofer	ballet	breaststroke	recordholder_Ian	23	0.023
hoofer	ballet	freestyle	backstroke	11	0.011
hoofer	ballet	dragonfly	chrysalides	20	0.02
hoofer	ballet	freestyle	dragonfly	12	0.012
hoofer	ballet	chrysalides	recordholder_Ian	17	0.017
hoofer	ballet	dragonfly	freestyle	12	0.012
hoofer	ballet	chrysalides	dragonfly	24	0.024
hoofer	ballet	recordholder_Ian	dragonfly	6	0.006
hoofer	ballet	backstroke	Medley_Relay	6	0.006
hoofer	ballet	Medley_Relay	breaststroke	3	0.003
hoofer	ballet	dragonfly	breaststroke	6	0.006
hoofer	ballet	breaststroke	chrysalides	8	0.008
hoofer	ballet	backstroke	dragonfly	15	0.015
hoofer	ballet	Medley_Relay	recordholder_Ian	6	0.006
hoofer	ballet	Individual_Medley	breaststroke	5	0.005
hoofer	ballet	breaststroke	Medley_Relay	4	0.004
hoofer	ballet	Medley_Relay	Individual_Medley	3	0.003
hoofer	ballet	freestyle	Individual_Medley	6	0.006
hoofer	ballet	freestyle	breaststroke	3	0.003
hoofer	ballet	chrysalides	breaststroke	14	0.014
hoofer	ballet	dragonfly	backstroke	15	0.015
hoofer	ballet	backstroke	freestyle	12	0.012
hoofer	ballet	dragonfly	Medley_Relay	3	0.003
hoofer	ballet	recordholder_Ian	Medley_Relay	6	0.006
hoofer	ballet	backstroke	chrysalides	7	0.007
hoofer	ballet	freestyle	chrysalides	4	0.004
hoofer	ballet	breaststroke	backstroke	2	0.002
hoofer	ballet	dragonfly	recordholder_Ian	6	0.006
hoofer	ballet	breaststroke	freestyle	13	0.013
hoofer	ballet	freestyle	Medley_Relay	13	0.013
hoofer	ballet	Individual_Medley	backstroke	5	0.005
hoofer	ballet	dragonfly	Individual_Medley	3	0.003
hoofer	ballet	breaststroke	Individual_Medley	3	0.003
hoofer	ballet	backstroke	Individual_Medley	1	0.001
hoofer	ballet	Individual_Medley	recordholder_Ian	19	0.019
hoofer	ballet	chrysalides	backstroke	6	0.006
hoofer	ballet	recordholder_Ian	Individual_Medley	6	0.006
hoofer	ballet	chrysalides	Individual_Medley	1	0.001
hoofer	ballet	Medley_Relay	dragonfly	1	0.001
hoofer	ballet	Individual_Medley	chrysalides	2	0.002
hoofer	ballet	NA	NA	483	0.483
